No.,mTurk_ID,IPAddress,Duration,Pair_no,2,1,0.25,0.0625,0.015625,clean,Paypemt Appropiate?,Comment
18,A20SL254675EOK,100.4.220.8,0:07:50,1,-3.0,-1.2,0.0,-0.2,0.5,1.5,Yes,not really
18,A20SL254675EOK,100.4.220.8,0:07:50,2,-3.0,-2.7,-1.0,0.0,0.2,-0.6,Yes,not really
18,A20SL254675EOK,100.4.220.8,0:07:50,3,-3.0,-2.0,-1.6,-0.3,0.2,0.0,Yes,not really
18,A20SL254675EOK,100.4.220.8,0:07:50,4,-3.0,-1.9,-1.5,0.4,0.0,0.2,Yes,not really
18,A20SL254675EOK,100.4.220.8,0:07:50,5,-2.5,-3.0,-2.0,-0.1,-1.0,0.2,Yes,not really
19,AL2JY5T878Z2H,75.181.224.196,0:09:37,1,-3.0,-3.0,-3.0,-0.0,-2.6,0.0,Yes,tysm
19,AL2JY5T878Z2H,75.181.224.196,0:09:37,2,-3.0,-3.0,2.0,-3.0,0.0,0.0,Yes,tysm
19,AL2JY5T878Z2H,75.181.224.196,0:09:37,3,-3.0,-2.0,-3.0,-2.1,-1.0,0.0,Yes,tysm
19,AL2JY5T878Z2H,75.181.224.196,0:09:37,4,-3.0,-3.0,-1.6,-0.0,2.5,0.0,Yes,tysm
19,AL2JY5T878Z2H,75.181.224.196,0:09:37,5,-3.0,-3.0,-3.0,-2.1,3.0,-1.1,Yes,tysm
20,A2P53AN2M8IWFP,76.16.127.27,0:17:57,1,-3.0,-3.0,-0.6,0.1,0.9,0.0,Yes,Good luck!
20,A2P53AN2M8IWFP,76.16.127.27,0:17:57,2,-2.9,-1.9,-0.5,-0.0,0.3,-0.5,Yes,Good luck!
20,A2P53AN2M8IWFP,76.16.127.27,0:17:57,3,-3.0,-2.2,-1.4,0.5,0.3,0.1,Yes,Good luck!
20,A2P53AN2M8IWFP,76.16.127.27,0:17:57,4,-2.7,-1.3,-0.6,0.7,-0.5,-0.2,Yes,Good luck!
20,A2P53AN2M8IWFP,76.16.127.27,0:17:57,5,-2.0,-2.0,-0.4,0.0,-0.8,0.5,Yes,Good luck!
22,A1SIUJEL2LS8UO,173.89.48.81,0:08:15,1,-2.5,-2.9,-2.4,-0.1,-0.0,-0.1,Yes,
22,A1SIUJEL2LS8UO,173.89.48.81,0:08:15,2,-3.0,-2.9,-2.9,-0.0,-0.1,0.1,Yes,
22,A1SIUJEL2LS8UO,173.89.48.81,0:08:15,3,-2.9,-2.9,-2.8,-1.0,-0.4,-0.5,Yes,
22,A1SIUJEL2LS8UO,173.89.48.81,0:08:15,4,-2.8,-2.8,-2.8,-0.0,-0.0,0.0,Yes,
22,A1SIUJEL2LS8UO,173.89.48.81,0:08:15,5,-3.0,-2.9,-3.0,-1.0,-0.0,0.0,Yes,
23,A24M9OW53CLT94,68.111.170.82,0:06:41,1,-3.0,-3.0,-3.0,-0.0,-0.0,0.0,Yes,
23,A24M9OW53CLT94,68.111.170.82,0:06:41,2,-3.0,-1.7,-1.1,-0.2,-0.1,0.1,Yes,
23,A24M9OW53CLT94,68.111.170.82,0:06:41,3,-3.0,-3.0,-2.4,-0.5,-0.9,0.0,Yes,
23,A24M9OW53CLT94,68.111.170.82,0:06:41,4,-3.0,-3.0,-2.0,-2.1,-0.0,0.0,Yes,
23,A24M9OW53CLT94,68.111.170.82,0:06:41,5,-3.0,-2.9,-2.4,-2.3,-0.2,0.0,Yes,
24,AZ69TBTDH7AZS,70.171.9.199,0:13:40,1,-3.0,-3.0,-3.0,-3.0,1.0,0.0,Yes,n/a
24,AZ69TBTDH7AZS,70.171.9.199,0:13:40,2,-3.0,-3.0,-3.0,0.5,-0.0,-0.5,Yes,n/a
24,AZ69TBTDH7AZS,70.171.9.199,0:13:40,3,-3.0,-3.0,-3.0,3.0,0.0,0.0,Yes,n/a
24,AZ69TBTDH7AZS,70.171.9.199,0:13:40,4,-3.0,-3.0,-3.0,-0.5,-0.5,0.5,Yes,n/a
24,AZ69TBTDH7AZS,70.171.9.199,0:13:40,5,-3.0,-3.0,-3.0,-0.0,0.0,0.0,Yes,n/a
26,A2WPKP73S4MBLK,71.76.243.180,0:38:34,1,-3.0,-2.2,-0.0,0.1,-0.1,0.0,Yes,This was a fascinating and well-designed study.
26,A2WPKP73S4MBLK,71.76.243.180,0:38:34,2,-2.9,-2.1,-1.0,-0.0,-0.4,0.2,Yes,This was a fascinating and well-designed study.
26,A2WPKP73S4MBLK,71.76.243.180,0:38:34,3,-3.0,-3.0,0.6,-0.1,0.0,0.0,Yes,This was a fascinating and well-designed study.
26,A2WPKP73S4MBLK,71.76.243.180,0:38:34,4,-3.0,-2.7,-0.0,0.0,-0.0,0.0,Yes,This was a fascinating and well-designed study.
26,A2WPKP73S4MBLK,71.76.243.180,0:38:34,5,-2.1,-3.0,-1.3,-0.0,0.0,0.0,Yes,This was a fascinating and well-designed study.
27,A2OVWCQ4B9AHFY,65.34.251.61,0:23:41,1,-3.0,0.0,-2.0,-1.1,0.0,-1.5,Yes,
27,A2OVWCQ4B9AHFY,65.34.251.61,0:23:41,2,-3.0,-3.0,-2.3,-0.6,1.9,-0.4,Yes,
27,A2OVWCQ4B9AHFY,65.34.251.61,0:23:41,3,-3.0,-3.0,-2.0,-0.1,-1.6,0.4,Yes,
